Date,CBA00332.CS,NH0100.NHF,000300.SH
2008-08-21,112.6504,1329.2136,2443.979
2008-08-22,112.6684,1339.8214,2404.928
2008-08-25,112.7239,1338.8501,2400.548
2008-08-26,112.7656,1320.319,2331.532
2008-08-27,112.8205,1338.8923,2325.292
2008-08-28,112.9231,1334.2408,2335.865
2008-08-29,113.0142,1333.2001,2391.64
2008-09-01,113.1428,1333.8106,2309.171
2008-09-02,113.1877,1303.1842,2285.411
2008-09-03,113.2188,1304.9603,2245.964
2008-09-04,113.1799,1306.4102,2251.146
2008-09-05,113.2088,1293.9985,2183.432
2008-09-08,113.2192,1281.3601,2126.518
2008-09-09,113.2898,1261.2925,2139.145
2008-09-10,113.4572,1260.6969,2143.176
2008-09-11,113.5282,1257.0224,2072.126
2008-09-12,113.7418,1277.4182,2077.846
2008-09-16,114.4671,1225.1703,2000.651
2008-09-17,115.1592,1224.7701,1929.135
2008-09-18,115.0674,1211.3998,1895.99
2008-09-19,114.9529,1220.3303,2073.113
2008-09-22,114.9096,1249.5423,2207.614
2008-09-23,114.8086,1243.0848,2123.478
2008-09-24,114.945,1235.7755,2138.853
2008-09-25,114.9101,1233.116,2223.532
2008-09-26,114.9356,1225.1451,2243.657
2008-10-06,114.8652,1171.1369,2128.696
2008-10-07,115.1316,1129.6638,2102.448
2008-10-08,115.5989,1095.5037,2022.881
2008-10-09,116.441,1090.0697,1995.297
2008-10-10,116.7445,1043.8156,1906.96
2008-10-13,116.6586,1036.0931,1985.486
2008-10-14,116.3279,1046.5188,1934.619
2008-10-15,116.4919,1027.3993,1914.356
2008-10-16,116.5342,987.0278,1820.903
2008-10-17,116.5032,997.39,1833.262
2008-10-20,116.3961,1027.8924,1896.733
2008-10-21,116.403,996.3334,1881.406
2008-10-22,116.3533,972.9,1833.323
2008-10-23,116.4269,963.1122,1834.78
2008-10-24,116.4719,953.4871,1781.598
2008-10-27,116.4845,932.9223,1654.671
2008-10-28,116.8161,956.3542,1705.82
2008-10-29,116.9572,949.9918,1658.223
2008-10-30,117.1571,973.6444,1697.656
2008-10-31,117.2052,949.7259,1663.66
2008-11-03,117.2328,965.4479,1653.542
2008-11-04,117.1715,951.6118,1627.759
2008-11-05,117.316,959.0924,1691.42
2008-11-06,117.5549,938.3555,1649.776
2008-11-07,117.748,935.7017,1677.827
2008-11-10,117.8993,954.9823,1801.665
2008-11-11,117.9685,925.7682,1781.361
2008-11-12,118.1379,923.8679,1801.823
2008-11-13,118.7084,916.282,1874.082
2008-11-14,118.5209,928.5347,1943.654
2008-11-17,118.3793,927.667,1987.225
2008-11-18,118.3762,925.135,1839.819
2008-11-19,118.0638,933.4442,1953.163
2008-11-20,118.1168,911.9175,1932.428
2008-11-21,118.1113,897.3259,1920.735
2008-11-24,118.2063,891.9338,1837.642
2008-11-25,118.1677,901.1908,1834.294
2008-11-26,118.4496,905.5424,1843.495
2008-11-27,118.6662,901.5427,1870.473
2008-11-28,118.6727,891.2454,1829.924
2008-12-01,118.6301,890.8231,1864.205
2008-12-02,118.8946,866.417,1868.631
2008-12-03,119.0145,862.9463,1952.668
2008-12-04,119.2791,844.1679,1982.928
2008-12-05,119.773,815.0027,2013.175
2008-12-08,119.7862,834.0238,2095.036
2008-12-09,119.665,818.1107,2040.847
2008-12-10,119.8004,841.3034,2096.393
2008-12-11,119.8048,840.322,2046.337
2008-12-12,119.9791,827.7999,1960.38
2008-12-15,120.0721,855.3873,1975.034
2008-12-16,120.1847,845.6419,1994.45
2008-12-17,120.6034,849.4964,2001.42
2008-12-18,120.8742,837.9931,2045.102
2008-12-19,120.9593,846.1845,2052.114
2008-12-22,120.9886,866.7055,2017.549
2008-12-23,120.9967,857.7241,1918.955
2008-12-24,120.9439,864.6455,1887.075
2008-12-25,121.0209,858.551,1870.765
2008-12-26,120.9529,857.9096,1862.096
2008-12-29,121.0102,872.931,1854.757
